date;ru_exchange;ru_gap;ru_gdp;ru_inflation;ru_interest;ru_m1;us_gap;us_gdp;us_inflation;us_interest;us_m1
2015-05-01;52,9716;0,943809541251536;20078197,68455680;150,58180;12,50;6576800000000;0,994508163060176;4587554,30471719;109,0570978489420;0,15;2,97590e+12
2015-06-01;55,5240;0,984409828377640;21407248,82200025;150,86790;11,50;6659500000000;1,000988585525064;4641073,71412998;109,4391106851240;0,18;3,02070e+12
2015-07-01;58,9906;0,975496568157389;21788589,39999926;152,07480;11,50;6759500000000;0,987096256702274;4605088,00000031;109,4464482666110;0,19;3,03840e+12
2015-08-01;66,4779;0,994825216962737;22029460,94667543;152,60710;11,00;6785700000000;0,985325407020024;4664208,73990860;109,2914418576920;0,26;3,02230e+12
2015-09-01;66,2367;0,981226786994493;22554649,82739517;153,47700;11,00;6744900000000;0,979731409437202;4640415,02546699;109,1213016869560;0,27;3,01630e+12
2015-10-01;64,3742;0,989710251239006;23079842,90000070;154,61270;11,00;6786900000000;0,990689165182924;4654714,99999994;109,0722316107600;0,25;3,01190e+12
2015-11-01;66,2393;0,954933819995685;22832392,05563206;155,77230;11,00;6786600000000;0,991455335063094;4594931,78286605;108,8420149915960;0,30;3,05620e+12
2015-12-01;72,8827;0,991128042461281;24155440,44164130;156,97170;11,00;7239100000000;0,984614310981104;4532253,10780961;108,4700913299600;0,54;3,14110e+12
2016-01-01;75,1723;0,945490916919198;18885121,10000139;158,47870;11,00;7055100000000;0,977943213352822;4496788,00000001;108,6494034775550;0,57;3,09400e+12
2016-02-01;75,0903;0,937721620645473;19754984,30285016;159,47710;11,00;7149800000000;0,980205126287227;4559972,02558441;108,7388302519310;0,54;3,09660e+12
2016-03-01;67,6076;0,954296613884644;21328865,18406412;160,21070;11,00;7142900000000;0,985172291746396;4616593,31329375;109,2070596705880;0,55;3,17980e+12
2016-04-01;64,3334;0,923187069251308;20452234,59999958;160,91560;11,00;7301500000000;0,987586097677701;4666050,99999979;109,7248177642850;0,55;3,23450e+12
2016-05-01;66,0825;0,941021228756118;20771237,09116739;161,57530;11,00;7296800000000;0,978198486072077;4689325,14401629;110,1687414442650;0,57;3,23480e+12
2016-06-01;64,2575;0,951340944507974;22092109,92963502;162,15700;10,50;7372700000000;0,986294805461387;4763522,68115580;110,5305759313570;0,55;3,24700e+12
2016-07-01;67,0512;0,936386102875963;22235115,20000066;163,03270;10,50;7462400000000;0,967864418199479;4720618,00000035;110,3517223826040;0,62;3,24470e+12
2016-08-01;64,9072;0,970344771053986;22946252,54130349;163,04900;10,50;7438500000000;0,967068436992429;4782272,77617812;110,4530727268970;0,73;3,31900e+12
2016-09-01;63,1581;0,938894768217960;23305387,41362303;163,32620;10,00;7412200000000;0,966293498936630;4791446,90608495;110,7186014569680;0,75;3,29640e+12
2016-10-01;62,9037;0,949561068998325;24043612,80000028;164,02850;10,00;7339100000000;0,982731694753703;4811649,00000009;110,8566397086980;0,72;3,32770e+12
2016-11-01;64,9449;0,974624997124690;24267549,23511278;164,75020;10,00;7317200000000;0,987311569132684;4747911,09218497;110,6842065437470;0,71;3,32850e+12
2016-12-01;60,6569;0,984494709751242;25114273,62473487;165,40920;10,00;7714800000000;0,984910018934356;4690310,79683029;110,7204358523400;0,87;3,38400e+12
2017-01-01;60,1618;0,969123460149973;20586119,09999941;166,43470;10,00;7543700000000;0,971909420028327;4647311,00000014;111,3656844243780;0,90;3,38860e+12
2017-02-01;57,9371;0,942144682379887;20587667,28833504;166,80090;10,00;7587400000000;0,975830350970726;4732153,21342716;111,7160539403960;0,87;3,35800e+12
2017-03-01;56,3779;0,961076142043481;22714803,50379917;167,01770;9,75;7610300000000;0,984716337365360;4808334,51864386;111,8068565113010;0,98;3,47730e+12
2017-04-01;56,9838;0,957399702218080;21917573,80000065;167,56890;9,75;7775300000000;0,984299792724824;4857935,99999962;112,1384234747580;1,03;3,48910e+12
2017-05-01;56,5168;0,974152148232806;22553886,31747827;168,18890;9,25;7813300000000;0,979230380759738;4900050,34860449;112,2342706329350;1,05;3,51710e+12
2017-06-01;59,0855;0,967360223491119;23853602,30508713;169,21480;9,00;7946900000000;0,986962629553484;4966480,32974945;112,3360795760710;1,16;3,52770e+12
2017-07-01;59,5436;0,941489290256904;23718216,20000020;169,33330;9,00;8034200000000;0,970150754223573;4920944,00000011;112,2585763716120;1,22;3,54820e+12
2017-08-01;58,7306;0,975976507344432;24596249,69816403;168,41890;9,00;8066800000000;0,973465205538385;4989666,93937259;112,5947293234980;1,25;3,58860e+12
2017-09-01;58,0169;0,960536041297342;25176437,48196043;168,16630;8,50;8089500000000;0,976545639432776;5001650,92014038;113,1909078193400;1,25;3,54220e+12
2017-10-01;57,8716;0,976805033395401;25621245,20000067;168,50260;8,25;8071500000000;0,994884473680389;5050987,00000078;113,1193663998390;1,26;3,60160e+12
2017-11-01;58,3311;0,990268424252057;25822388,52509188;168,87330;8,25;8073900000000;1,007345693358906;5009301,09117217;113,1221179928960;1,32;3,60330e+12
2017-12-01;57,6002;1,011573771899353;26524473,35939693;169,58260;7,75;8446000000000;1,010975494778552;4969276,18397666;113,0556211606680;1,54;3,65270e+12
2018-01-01;56,2914;1,036581765897041;22474464,30000008;170,10830;7,75;8163600000000;0,996692010799362;4923798,00000028;113,6715194067570;1,63;3,65190e+12
2018-02-01;55,6717;1,001492149589052;22836877,59622329;170,46550;7,50;8301000000000;0,998883199269170;5018077,08915229;114,1869845062380;1,78;3,56610e+12
2018-03-01;57,2649;1,017102945766568;24999952,66329836;170,95980;7,25;8442600000000;1,005921898014956;5083486,92361534;114,4451756548220;2,08;3,68840e+12
2018-04-01;61,9997;1,057707143593438;24969759,09999974;171,60950;7,25;8712300000000;1,005446339213091;5135596,99999982;114,9001057070330;2,20;3,69810e+12
2018-05-01;62,5937;1,081914122343069;25969345,37396473;172,26160;7,25;8772000000000;0,998038666039158;5143709,93248682;115,3779657013930;2,16;3,65570e+12
2018-06-01;62,7565;1,051818929136166;26874171,43232202;173,10570;7,25;8945500000000;1,005920677141494;5220727,48729630;115,5618638374180;2,19;3,65660e+12
2018-07-01;62,7805;1,051535093665752;27196843,50000002;173,57310;7,25;9053100000000;0,994577677336691;5187829,00000015;115,5696600177480;2,17;3,68070e+12
2018-08-01;68,0821;1,060665016370311;27839819,06794284;173,59040;7,25;9149900000000;1,000816158792276;5264939,66180162;115,6338638557610;2,19;3,69090e+12
2018-09-01;65,5906;1,034924115376616;27981874,91492742;173,86820;7,50;9138700000000;1,000813410230317;5275123,24970811;115,7682333167470;2,24;3,67570e+12
2018-10-01;65,7742;1,074414286290303;29220584,10000078;174,47670;7,50;9048400000000;1,014751802979516;5285745,00000003;115,9727684007050;2,37;3,72220e+12
2018-11-01;66,6342;1,049751238700496;28738476,98019469;175,34910;7,50;8980900000000;1,024362334195903;5224756,05054979;115,5843351807220;2,56;3,68000e+12
2018-12-01;69,4706;1,104951732452579;29908111,56171682;176,82200;7,75;9339000000000;1,023022506268302;5180186,25652872;115,2151631121430;2,69;3,80070e+12
2019-01-01;66,0987;1,056825159774157;24552081,80000029;178,60790;7,75;8989870000000;1,007786819154050;5120261,00000009;115,4348319579190;2,59;3,74850e+12
